"fit","lwr","upr"
1364.10718401418,1255.04444657828,1599.08214550958
1149.14081220419,1030.67022643896,1369.61684321903
1004.54586173091,878.442791470007,1213.28674526447
994.300561094529,860.35969335433,1195.18891546913
947.760483266071,808.729251558342,1141.02797545998
1037.78475146674,894.547006657059,1224.96099343895
1198.95987248392,1052.21864424936,1283.58324472342
1361.99896759901,1212.31091946673,1461.36339063408
1492.75570619134,1340.55906374451,1604.18360022664
1522.63559378806,1270.55897258969,1643.97036028759
1585.60511686783,1350.18009794332,1715.11205515376
1584.19915135319,1362.10556497445,1720.48517570826
1435.81315263324,1322.06297618852,1675.47555313746
1219.9160506815,1096.04198449252,1445.79556212009
1074.39037006647,942.120494662081,1289.29805874352
